 ;PosX [m]:;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5;1.5
 ;PosY [m]:;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 ;PosZ [m]:;0.0001;0.0991;0.1981;0.2971;0.3961;0.4951;0.5941;0.6931;0.7921;0.8911;0.9901;1.0891;1.1881;1.2871;1.3861;1.4851;1.5841;1.6831;1.7821;1.8811;1.9801;2.0791;2.1781;2.2771;2.3761;2.4751;2.5741;2.6731;2.7721;2.8711;2.9701
Part;Time [s];Vel.x_0;Vel.x_1;Vel.x_2;Vel.x_3;Vel.x_4;Vel.x_5;Vel.x_6;Vel.x_7;Vel.x_8;Vel.x_9;Vel.x_10;Vel.x_11;Vel.x_12;Vel.x_13;Vel.x_14;Vel.x_15;Vel.x_16;Vel.x_17;Vel.x_18;Vel.x_19;Vel.x_20;Vel.x_21;Vel.x_22;Vel.x_23;Vel.x_24;Vel.x_25;Vel.x_26;Vel.x_27;Vel.x_28;Vel.x_29;Vel.x_30
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0.0102318;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.82169e-44;8.14884e-40;1.32966e-35;1.20124e-31;6.84892e-28;2.57709e-24;6.4991e-21;1.10158e-17;1.24878e-14;9.37038e-12;4.58603e-09;1.42733e-06;0.00026313;0.0233721;0.280895
2;0.0200683;0;0;0;0;0;0;0;0;0;0;0;0;0;6.30584e-44;1.56919e-40;3.16666e-37;5.29936e-34;7.35246e-31;8.42974e-28;7.93589e-25;6.07609e-22;3.73518e-19;1.8136e-16;6.81317e-14;1.92939e-11;3.98262e-09;5.72596e-07;5.35881e-05;0.00291055;0.0742593;0.379696
3;0.0303261;0;0;0;0;0;0;0;0;0;0;0;1.05097e-43;1.12627e-40;1.06364e-37;8.7988e-35;6.34688e-32;3.96674e-29;2.13046e-26;9.73494e-24;3.74054e-21;1.19246e-18;3.10579e-16;6.49117e-14;1.0655e-11;1.3373e-09;1.23966e-07;8.09879e-06;0.00034915;0.00902646;0.121839;0.481578
4;0.040134;0;0;0;0;0;0;0;0;0;7.00649e-45;5.04748e-42;3.22356e-39;1.83154e-36;9.22103e-34;4.09457e-31;1.59501e-28;5.41634e-26;1.59165e-23;4.01262e-21;8.59028e-19;1.54277e-16;2.29067e-14;2.76243e-12;2.6473e-10;1.96157e-08;1.08516e-06;4.28135e-05;0.00113302;0.0184975;0.16634;0.543628
5;0.0503282;0;0;0;0;0;0;0;0;1.12104e-43;5.43031e-41;2.35294e-38;9.16963e-36;3.20192e-33;9.97499e-31;2.75874e-28;6.73476e-26;1.44167e-23;2.68528e-21;4.31313e-19;5.91153e-17;6.82877e-15;6.55233e-13;5.12622e-11;3.20624e-09;1.55942e-07;5.70789e-06;0.000150718;0.00271772;0.0311628;0.208765;0.5893
